title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description						
		NCBITaxon:1496		Clostridioides difficile [NCBITaxon:1496]				A species of Clostridium that is the most significant cause of pseudomembranous colitis. [http://purl.obolibrary.org/obo/NCIT_C76276]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1485	Clostridium [NCBITaxon:1485]					A genus of gram-positive, obligate anaerobic bacteria in the Firmicutes phylum capable of producing endospores. [http://purl.obolibrary.org/obo/NCIT_C76275]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1502		Clostridium perfringens [NCBITaxon:1502]				A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Proteobacteria. This species is motile, hydrolyzes gelatin, produces enterotoxin, is beta-hemolytic and catalase negative. C. perfringens is a food borne pathogen, being the causative agent of pig-bel syndrome and gas gangrene. [http://purl.obolibrary.org/obo/NCIT_C86288]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1509		Clostridium sporogenes [NCBITaxon:1509]				A species of anaerobic, Gram positive, rod shaped bacteria assigned to the phylum Firmicutes. This species is proteolytic, does not produce botulinum toxin, is beta-hemolytic and positive for indole. C. sporogenes is pathogenic and culture is associated with a foul odor. [http://purl.obolibrary.org/obo/NCIT_C86294]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:283	Comamonas [NCBITaxon:283]					A genus of aerobic, Gram negative, rod and cocci shaped bacterium assigned to the phylum Proteobacteria and the family Comamonadaceae. [http://purl.obolibrary.org/obo/NCIT_C86303]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:225991		Comamonas aquatica [NCBITaxon:225991]				Comamonas species which is is Gram-negative, oxidase- and catalase-negative, and is a motile bacterium with multitrichous polar flagella. [ https://en.wikipedia.org/wiki/Comamonas_aquatica]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:547	Enterobacter [NCBITaxon:547]					An Enterobacteriaceae genus which is a common Gram-negative, facultatively anaerobic, rod-shaped, non-spore-forming bacteria of the order Enterobacterales. [https://en.wikipedia.org/wiki/Enterobacter]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:61645		Enterobacter asburiae [NCBITaxon:61645]				An Enterobacteriaceae cloacae complex subspecies.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:69218		Enterobacter cancerogenus [NCBITaxon:69218]				A species of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria. This species is motile by peritrichous flagella, catalase positive, reduces nitrate, hydrolyzes esculin, oxidase, indole and urease negative and not susceptible to erythromycin and penicillin. E. cancerogenus was isolated from the tree Populus canadensis and is known to cause infection in cases of severe trauma. [ NCI ]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:550		Enterobacter cloacae [NCBITaxon:550]				An Enterobacteriaceae species which is gram-negative, facultatively-anaerobic, and rod-shaped. [https://en.wikipedia.org/wiki/Enterobacter_cloacae]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:158836		Enterobacter hormaechei [NCBITaxon:158836]				A species of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria. This species is motile, indole negative, does not hydrolyze gelatin, reduces nitrate and produces acid from mucate. E. hormachei is an opportunistic pathogen, causing nosocomial infections. [http://purl.obolibrary.org/obo/NCIT_C86362]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:208224		Enterobacter kobei [NCBITaxon:208224]				An Enterobacteriaceae cloacae complex subspecies which is Gram-negative, motile rods conforming to the definition of the family Enterobacteriaceae, proposed for a group of organisms referred to as NIH Group 21 at the National Institute of Health, Tokyo. [https://doi.org/10.1007/s002849900110]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1812935		Enterobacter roggenkampii [NCBITaxon:1812935]				An Enterobacter species which is a nitrogen fixing plant growth promoting endophytic bacterium with biocontrol and stress tolerance properties, isolated from sugarcane root [https://www.frontiersin.org/articles/10.3389/fmicb.2020.580081/full].	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:42895		Enterobacter sp. [NCBITaxon:42895]				An unclassified Enterobacter species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:61646		Lelliottia amnigena [NCBITaxon:61646]				An Enterobacteriaceae species which is also known as Enterobacter amnigenus.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:61647		Pluralibacter gergoviae [NCBITaxon:61647]				A species of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria. This species is motile, indole negative, hydrolyzes esculin, oxidase negative, reduces nitrate and does not grow in culture in the presence of potassium cyanide. E. gergoviae is a common nosocomial pathogen, causing urinary tract infections. [NCIT:C86361]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1350	Enterococcus [NCBITaxon:1350]					A Bacillota genus which contains many kinds of Gram-positive lactic acid cocci bacteria that often occur in pairs (diplococci) or short chains, and are difficult to distinguish from streptococci on physical characteristics alone.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:57732		Enterococcus asini [NCBITaxon:57732]				An Enterococcus species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:33945		Enterococcus avium [NCBITaxon:33945]				An Enterococcus species which is most commonly found in birds. 	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:317735		Enterococcus caccae [NCBITaxon:317735]				An Enterococcus species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:214095		Enterococcus canis [NCBITaxon:214095]				An Enterococcus species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:37734		Enterococcus casseliflavus [NCBITaxon:37734]				An Enteroccocus species which is a Gram positive, catalase- and oxidase negative, non-spore forming, non-motile ovoid cocci occurring in single, pairs or short chains. [https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/enterococcus-casseliflavus]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:44008		Enterococcus cecorum [NCBITaxon:44008]				An Enterococcus species.	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:44009		Enterococcus dispar [NCBITaxon:44009]				A species of facultatively anaerobic, Gram-positive, cocci shaped bacteria in the phylum Firmicutes. This species is nonmotile, non-spore forming, catalase negative, and hydrolyzes esculin. E. dispar has been isolated from human specimens. [http://purl.obolibrary.org/obo/NCIT_C86366] 	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:53345		Enterococcus durans [NCBITaxon:53345]				A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is non-motile, ferments melibiose, does not ferment arabinose or citrate, does not reduce tetrazolium and is a lactic acid bacteria. E. durans is pathogenic in chickens but is rarely shown to be pathogenic in humans. [http://purl.obolibrary.org/obo/NCIT_C86367]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1352		Enterococcus faecium [NCBITaxon:1352]				An Enterococcus species which is a Gram-positive, gamma-hemolytic or non-hemolytic bacterium that can act as a pathogen or commensal in the gastrointestinal tract of humans and animals. 	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1351		Enterococcus faecalis [NCBITaxon:1351]				An Enterococcus species which is a Gram-positive, commensal bacterium inhabiting the gastrointestinal tracts of humans. E. faecalis is found in healthy humans and can be used as a probiotic, but can also cause a variety of nosocomial infections of which urinary tract infections are the most common. 	Note: this definition is specification-specific and is not provided by NCBITaxon.					
		NCBITaxon:1353		Enterococcus gallinarum [NCBITaxon:1353]				An Enteroccocus species which is a Gram positive, catalase- and oxidase negative, non-spore forming, non-motile ovoid cocci occurring in single, pairs or short chains. [https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/enterococcus-casseliflavus]	Note: this definition is specification-specific and is not provided by NCBITaxon.					
